ref,value,datasheet,Field1,Field2
C1,47uF,http://www.vishay.com/doc?40080,http://www.vishay.com/doc?40080,718-1362-1-ND,Digikey
C2,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C3,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C4,103,http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C315C103K5R5TA7303,http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C315C103K5R5TA7303,399-9858-1-ND,Digikey
C5,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C6,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C7,106,http://www.kemet.com/docfinder?Partnumber=C1206C106M3RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C106M3RACTU,399-7443-1-ND,Digikey
C8,102,http://www.kemet.com/docfinder?Partnumber=C315C102K1R5TA,http://www.kemet.com/docfinder?Partnumber=C315C102K1R5TA,399-4144-ND,Digikey
C9,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C10,105,http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C315C105K3R5TA,http://capacitoredge.kemet.com/capedge2/DataSheet?pn=C315C105K3R5TA,399-9714-ND,Digikey
C11,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
C12,107,http://www.vishay.com/docs/40080/tr3.pdf,http://www.vishay.com/docs/40080/tr3.pdf,718-1885-1-ND,Digikey
C13,106,http://www.kemet.com/docfinder?Partnumber=C1206C106M3RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C106M3RACTU,399-7443-1-ND,Digikey
C14,107,http://www.vishay.com/docs/40080/tr3.pdf,http://www.vishay.com/docs/40080/tr3.pdf,718-1885-1-ND,Digikey
C15,107,http://www.vishay.com/docs/40080/tr3.pdf,http://www.vishay.com/docs/40080/tr3.pdf,718-1885-1-ND,Digikey
C16,104,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,http://www.kemet.com/docfinder?Partnumber=C1206C104K5RACTU,399-1249-1-ND,Digikey
D1,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D2,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D3,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D4,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D5,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D6,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D7,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216QBC-D.pdf,754-1439-1-ND,Digikey 
D8,LED,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216SECK.pdf,http://www.kingbrightusa.com/images/catalog/SPEC/APT3216SECK.pdf,754-1140-1-ND,Digikey 
